#########################################################################################################
# Fit coefficients on mass-radius relationships.
#
# Each mass-radius relationship is fitted by a function of the form :
#   log10(Rp/R_Earth) = a*log10(Mp/M_Earth) + exp(-d*(log10(Mp/M_Earth)+c)) + b
#
# Fits are performed only for cases where errcode=0
#
# x_core' : core to core+mantle mass fraction in the planet, i.e. the core mass fraction without taking into account H2O in hydrosphere or atmosphere
# x_H2O : total water mass fraction in the planet (taking into account the mass of H2O in the atmosphere)
# T_irr : irradiation temperature (in K)
# a,b,c,d : coefficients of the fits
# number : out of 20 masses, how many have errcode=0
# MAE : Mean Average Error (in %)
# max error : greatest error (in %) between one point and the fitted function
# loc : location of the point with the greatest error
#
# 2024 update:
# mass_low: lower limit in mass (units of M_e) on the validity range of the fit (lowest valid point)
# mass_up: upper limit in mass (units of M_e) on the validity range of the fit (upper valid point)
#
#########################################################################################################
#
#   x_core'    x_H2O     t_irr                a                b                d                c  number         MAE   max error     loc    mass_low     mass_up
   0.10000   0.10000   1100.00   0.200722179295   0.154186427946   3.064231320652   0.686203026842      16     0.32222      0.9486       6    0.529327   19.992787
   0.10000   0.20000   1100.00   0.194906072531   0.183970883924   2.929944619126   0.634029438392      15     0.24206     0.74448       7    0.674726   19.994601
   0.10000   0.30000   1100.00   0.189732440017   0.208204943089   2.840243830408   0.600698117123      13     0.11449     0.31831       8    0.859403   15.700925
   0.10000   0.40000   1100.00   0.188237790465   0.225557730613   2.717870746972   0.582635298028      13    0.082783     0.25731      11    1.094796   19.995819
   0.10000   0.50000   1100.00   0.189440817901   0.236556417949   2.532614315090   0.582433165203      12    0.066963       0.163      12    1.393860   19.996331
   0.10000   0.60000   1100.00   0.178695315226   0.265345392872   2.699804287208   0.528860399362      12    0.068717     0.21102      12    1.394510   19.998143
   0.10000   0.70000   1100.00   0.178901304911   0.275802463758   2.535242729141   0.536783536756      11    0.061483     0.14732      15    1.776647   19.987664
   0.10000   0.80000   1100.00   0.177440894236   0.290054138209   2.536508504155   0.505104590707      10    0.088418     0.24007      13    1.777811   15.701045
   0.10000   0.90000   1100.00   0.164673151564   0.320826079335   2.744400659284   0.454647934626      11    0.079938     0.18984      13    1.778268   19.988415
   0.10000   1.00000   1100.00   0.164938876013   0.331150999618   2.615542559928   0.455646544912      10    0.070728     0.12927      14    2.263355   19.984045
   0.10000   0.10000   1200.00   0.189246671133   0.171071166001   3.477419556808   0.636492597683      16     0.44615      1.1039       6    0.529204   19.994094
   0.10000   0.20000   1200.00   0.184201656694   0.201108298144   3.295268885518   0.586469035621      15     0.30694     0.81887       7    0.674521   19.992500
   0.10000   0.30000   1200.00   0.177338866532   0.227976899393   3.229672347147   0.549791489832      13     0.16512     0.26647       8    0.859241   15.698659
   0.10000   0.40000   1200.00   0.178224912412   0.243739833954   3.061628318122   0.531202400189      13     0.13187     0.25431       9    1.094419   20.000690
   0.10000   0.50000   1200.00   0.178942191170   0.256101467874   2.838533623980   0.534764992451      12    0.091836     0.17881      14    1.393859   19.990632
   0.10000   0.60000   1200.00   0.171048190344   0.280974253072   2.993875332239   0.481189921679      12     0.10194     0.15193      10    1.395129   19.995302
   0.10000   0.70000   1200.00   0.166917123340   0.298566313846   2.935269704777   0.471180281483      11     0.06684     0.13417      15    1.776712   19.986307
   0.10000   0.80000   1200.00   0.159468873355   0.321391771077   3.090625991644   0.421981180762      11    0.055618    0.098049      18    1.777393   19.998206
   0.10000   0.90000   1200.00   0.152522069207   0.343257183713   3.199717456035   0.386019189568      11    0.051186    0.098843      18    1.778623   19.987600
   0.10000   1.00000   1200.00   0.148502477577   0.360870996536   3.222065219358   0.359797931908      10    0.041324     0.10152      18    2.263221   19.992737
   0.10000   0.10000   1300.00   0.184046094287   0.179291576192   3.796630037849   0.591373128543      16     0.46664      1.2084       6    0.529342   19.997792
   0.10000   0.20000   1300.00   0.176012473193   0.212615359195   3.645842882907   0.538734594895      14     0.29318     0.86152       7    0.674684   15.699701
   0.10000   0.30000   1300.00   0.177894203132   0.230561256971   3.396638189851   0.510303423215      14     0.13526      0.2938       8    0.859441   19.996009
   0.10000   0.40000   1300.00   0.175974786537   0.249296955863   3.265237247617   0.487875153839      13    0.075114     0.18894       9    1.094694   19.996768
   0.10000   0.50000   1300.00   0.173512026826   0.266540641945   3.123705067187   0.479073952365      12    0.042425    0.086706      17    1.393973   19.997965
   0.10000   0.60000   1300.00   0.167035721749   0.289171099780   3.247215414593   0.431525892040      12    0.042549     0.11875      10    1.395097   19.993490
   0.10000   0.70000   1300.00   0.165562897111   0.303772492181   3.149539681541   0.420141530015      11    0.032572    0.098754      18    1.776412   19.999569
   0.10000   0.80000   1300.00   0.162336004895   0.320567234195   3.184554255418   0.386859815626      11     0.02342    0.045103      11    1.777479   19.993318
   0.10000   0.90000   1300.00   0.159206231903   0.337123076974   3.201773548143   0.359444390642      10    0.025971    0.046672      11    1.778425   15.691879
