#Met Age[Gyr]   Teq[K] Mass[Me] f_env[%]    R_RCB[Re] R_20mbar[Re]  R_1nbar[Re] err_code
   1     0.10  1563.31     8.00     0.10     1.980000     2.630000    4.380000        0
   1     0.10  1563.31     8.00     0.20     2.080000     2.800000    4.880000        0
   1     0.10  1563.31     8.00     0.50     2.270000     3.140000    6.020000        0
   1     0.10  1563.31     8.00     1.00     2.480000     3.570958    7.806498        1
   1     0.10  1563.31     8.00     2.00     2.780000     4.185161   11.494145        1
   1     0.10  1563.31     8.00     5.00     3.480000     5.936679   48.326391        1
   1     0.10  1563.31     8.00    10.00     4.400000     8.631638  890.501339        1
   1     0.10  1563.31     8.00    20.00     6.000000     8.749632   18.999468        1
   1     0.10  1563.31    10.00     0.10     2.100000     2.640000    3.880000        0
   1     0.10  1563.31    10.00     0.20     2.200000     2.790000    4.220000        0
   1     0.10  1563.31    10.00     0.50     2.380000     3.090000    4.940000        0
   1     0.10  1563.31    10.00     1.00     2.590000     3.440000    5.910000        0
   1     0.10  1563.31    10.00     2.00     2.910000     4.010000    7.730000        0
   1     0.10  1563.31    10.00     5.00     3.560000     5.319334   14.241229        1
   1     0.10  1563.31    10.00    10.00     4.450000     7.296032   42.292596        1
   1     0.10  1563.31    10.00    20.00     5.980000     8.351643   16.700012        1
   1     0.10  1563.31    13.00     0.10     2.240000     2.680000    3.570000        0
   1     0.10  1563.31    13.00     0.20     2.330000     2.810000    3.820000        0
   1     0.10  1563.31    13.00     0.50     2.520000     3.070000    4.310000        0
   1     0.10  1563.31    13.00     1.00     2.730000     3.380000    4.940000        0
   1     0.10  1563.31    13.00     2.00     3.030000     3.860000    5.990000        0
   1     0.10  1563.31    13.00     5.00     3.700000     4.960000    8.930000        0
   1     0.10  1563.31    13.00    10.00     4.510000     6.412078   14.370139        1
   1     0.10  1563.31    13.00    20.00     5.950000     7.971001   14.562474        1
   1     0.10  1563.31    16.00     0.10     2.350000     2.730000    3.450000        0
   1     0.10  1563.31    16.00     0.20     2.450000     2.850000    3.640000        0
   1     0.10  1563.31    16.00     0.50     2.630000     3.100000    4.050000        0
   1     0.10  1563.31    16.00     1.00     2.840000     3.380000    4.540000        0
   1     0.10  1563.31    16.00     2.00     3.140000     3.810000    5.320000        0
   1     0.10  1563.31    16.00     5.00     3.790000     4.770000    7.310000        0
   1     0.10  1563.31    16.00    10.00     4.640000     6.100000   10.540000        0
   1     0.10  1563.31    16.00    20.00     5.960000     7.778373   13.337847        1
   1     0.10  1563.31    20.00     0.10     2.480000     2.800000    3.380000        0
   1     0.10  1563.31    20.00     0.20     2.580000     2.920000    3.540000        0
   1     0.10  1563.31    20.00     0.50     2.760000     3.140000    3.880000        0
   1     0.10  1563.31    20.00     1.00     2.960000     3.400000    4.280000        0
   1     0.10  1563.31    20.00     2.00     3.260000     3.790000    4.910000        0
   1     0.10  1563.31    20.00     5.00     3.900000     4.660000    6.400000        0
   1     0.10  1563.31    20.00    10.00     4.720000     5.820000    8.580000        0
   1     0.10  1563.31    20.00    20.00     6.090000     7.780000   12.610000        0
   1     1.00   278.00     1.00     0.10     1.070000     1.630000    2.520000        0
   1     1.00   278.00     1.00     0.20     1.150000     1.820000    3.000000        0
   1     1.00   278.00     1.00     0.50     1.380000     2.323899    4.536287        1
   1     1.00   278.00     1.00     1.00     1.470000     2.893722    7.270417        1
   1     1.00   278.00     1.00     2.00     1.720000     4.217929   35.373312        1
   1     1.00   278.00     1.00     5.00     2.120000    10.073210  360.782702        1
   1     1.00   278.00     1.00    10.00     2.560000   296.979538  472.950498        1
   1     1.00   278.00     1.00    20.00     3.230000   388.236729  668.370918        1
   1     1.00   278.00     2.00     0.10     1.320000     1.640000    2.000000        0
   1     1.00   278.00     2.00     0.20     1.410000     1.770000    2.190000        0
   1     1.00   278.00     2.00     0.50     1.560000     2.020000    2.580000        0
   1     1.00   278.00     2.00     1.00     1.720000     2.330000    3.100000        0
   1     1.00   278.00     2.00     2.00     1.950000     2.810000    4.010000        0
   1     1.00   278.00     2.00     5.00     2.500000     4.138190    7.119536        1
   1     1.00   278.00     2.00    10.00     3.130000     6.152113   16.603138        1
   1     1.00   278.00     2.00    20.00     4.230000    11.111786  719.163449        1
   1     1.00   278.00     3.00     0.10     1.490000     1.730000    1.970000        0
   1     1.00   278.00     3.00     0.20     1.560000     1.830000    2.100000        0
   1     1.00   278.00     3.00     0.50     1.710000     2.040000    2.380000        0
   1     1.00   278.00     3.00     1.00     1.870000     2.280000    2.720000        0
   1     1.00   278.00     3.00     2.00     2.110000     2.660000    3.270000        0
   1     1.00   278.00     3.00     5.00     2.630000     3.560000    4.710000        0
   1     1.00   278.00     3.00    10.00     3.310000     4.880000    7.210000        0
   1     1.00   278.00     3.00    20.00     4.420000     7.315303   13.144661        1
